N,ID,Field,CCD,Par00,Par01,Par02,Par03,Par04,Par05,Par06,Par07,Par08,Par09,Par10,Par11,Par12,Par13,Par14,Par15,Par16,Par17,Par18,Par19,Par20,Par21,Par22,Par23,Par24,Par25,Par26,Par27,Par28,Par29,Par30,Par31
49,HiTS49SN,33,S17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,HiTS50SN,34,N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,HiTS51SN,42,S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,HiTS52SN,50,S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,HiTS53SN,19,N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,HiTS54SN,26,S26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,HiTS55SN,34,N19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,HiTS56SN,12,S28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,HiTS57SN,45,N4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,HiTS58SN,46,N22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,HiTS59SN,49,N14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,HiTS60SN,39,S10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,HiTS61SN,43,N25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,HiTS62SN,20,S14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,HiTS63SN,25,N3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,HiTS64SN,15,N22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,HiTS65SN,41,S29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,HiTS66SN,3,N3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,HiTS67SN,3,N20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
