58,Feb 26th,HiTS58SN,46,N22,1956,320,22.1
59,Feb 26th,HiTS59SN,49,N14,2460,1452,21.2
60,Feb 26th,HiTS60SN,39,S10,1757,0857,22.7
61,Feb 26th,HiTS61SN,43,N25,139,813,22.5
62,Mar 13th,HiTS62SN,20,S14,1576,640,21.5
63,Mar 13th,HiTS63SN,25,N3,1184,333,22.75
64,Mar 13th,HiTS64SN,15,N22,3970,1632,22.2
65,Mar 13th,HiTS65SN,41,S29,4033,376,22.76
66,Mar 7-8th,HiTS66SN,03,N3,206,1712,22.51 +0.10-0.10
67,Mar 7-8th,HiTS67SN,03,N20,128,1934,x
68,Mar 7-8th,HiTS68SN,05,N17,331,1469,21.35 +0.04-0.04
69,Mar 7-8th,HiTS69SN,07,N27,1641,922,22.51 +0.10-0.10
70,Mar 7-8th,HiTS70SN,12,N20,4014,424,22.14 +0.06-0.06
71,Mar 7-8th,HiTS71SN,14,S8,693,678,19.06 +0.01-0.01
72,Mar 7-8th,HiTS72SN,14,S11,3355,1003,21.14 +0.03-0.03
73,Mar 7-8th,HiTS73SN,19,S12,1018,797,20.89 +0.02-0.02
74,Mar 7-8th,HiTS74SN,21,N8,1388,292,21.92 +0.06-0.05
75,Mar 7-8th,HiTS75SN,21,S15,3826,209,22.34 +0.08-0.07
76,Mar 7-8th,HiTS76SN,28,N12,1386,515,21.37 +0.06-0.06
77,Mar 7-8th,HiTS77SN,30,S26,3062,1568,19.55 +0.01-0.01
78,Mar 7-8th,HiTS78SN,26,N10,2660,1236,22.32 +0.08-0.07
79,Mar 7-8th,HiTS79SN,39,N23,277,1598,21.81 +0.05-0.05
80,Mar 7-8th,HiTS80SN,34,N3,3630,1052,21.47 +0.04-0.04
81,Mar 7-8th,HiTS81SN,41,N26,753,638,22.21 +0.06-0.06
82,Mar 7-8th,HiTS82SN,49,N20,3979,683,22.35 +0.09-0.08
83,Mar 7-8th,HiTS83SN,43,S1,926,558,18.04 +0.00-0.00
84,Mar 7-8th,HiTS84SN,40,N16,1208,1725,19.41 +0.01-0.01
85,Mar 7-8th,HiTS85SN,46,S24,615,877,21.85 +0.07-0.07
86,Mar 7-8th,HiTS86SN,49,S17,2348,1858,22.45 +0.11-0.10
87,Mar 7-8th,HiTS87SN,19,N8,3133,1553,22.19 +0.07-0.07
88,Mar 7-8th,HiTS88SN,45,S6,1242,1340,22.13 +0.08-0.07
89,Mar 7-8th,HiTS89SN,45,N8,3075,1700,22.29 +0.09-0.09
90,Mar 7-8th,HiTS90SN,47,S27,3514,978,21.06 +0.03-0.03
-,-,PH14SN,02,S17,2828,1839,-
-,-,PH19SN,09,N11,0672,0052,-
-,-,PH28SN,38,S25,2720,0172,-
